ExperimentNumber,WorkloadNumber,RequestId,                   J,UserClass,              Policy,CloudDeploymentModel,CloudletId,            TaskType,CloudletLength,CloudletStatusString,SubmissionTime,ExecStartTime,FinalExecTime,FinishTime,InstanceVmId,              VmType
               1,             2,       15,             J={9-2},     GOLD,             LFFCost,              Hybrid,        32,                 Map,         10000,             Success,     200000.10,    200000.10,        25.69, 200025.79,          71, small-aws-us-east-1
               1,             2,       15,             J={9-2},     GOLD,             LFFCost,              Hybrid,        33,                 Map,         10000,             Success,     200000.10,    200000.10,        25.69, 200025.79,          72, small-aws-us-east-1
               1,             2,       15,             J={9-2},     GOLD,             LFFCost,              Hybrid,        24,              Reduce,          5000,             Success,     200025.79,    200025.79,        10.00, 200035.79,          64, small-aws-us-east-1
               1,             2,       15,             J={9-2},     GOLD,             LFFCost,              Hybrid,        25,              Reduce,          1000,             Success,     200025.79,    200025.79,         2.00, 200027.79,          65, small-aws-us-east-1
               1,             3,       19,             J={9-2},     GOLD,         BBMultiCost,              Hybrid,        34,                 Map,         10000,             Success,     200000.10,    200000.10,       108.00, 200108.10,         134,     openstack-micro
               1,             3,       19,             J={9-2},     GOLD,         BBMultiCost,              Hybrid,        37,                 Map,         10000,             Success,     200000.10,    200000.10,       108.00, 200108.10,         135,     openstack-micro
               1,             3,       19,             J={9-2},     GOLD,         BBMultiCost,              Hybrid,        38,                 Map,         10000,             Success,     200000.10,    200000.10,       108.00, 200108.10,         136,     openstack-micro
               1,             3,       19,             J={9-2},     GOLD,         BBMultiCost,              Hybrid,        39,                 Map,         10000,             Success,     200000.10,    200000.10,       108.00, 200108.10,         137,     openstack-micro
               1,             3,       19,             J={9-2},     GOLD,         BBMultiCost,              Hybrid,        40,                 Map,         10000,             Success,     200000.10,    200000.10,       108.00, 200108.10,         138,     openstack-micro
               1,             3,       19,             J={9-2},     GOLD,         BBMultiCost,              Hybrid,        41,                 Map,         10000,             Success,     200000.10,    200000.10,       108.00, 200108.10,         139,     openstack-micro
               1,             3,       19,             J={9-2},     GOLD,         BBMultiCost,              Hybrid,        42,                 Map,         10000,             Success,     200000.10,    200000.10,       108.00, 200108.10,         140,     openstack-micro
               1,             3,       19,             J={9-2},     GOLD,         BBMultiCost,              Hybrid,        43,                 Map,         10000,             Success,     200000.10,    200000.10,       108.00, 200108.10,         141,     openstack-micro
               1,             3,       19,             J={9-2},     GOLD,         BBMultiCost,              Hybrid,        44,                 Map,         10000,             Success,     200000.10,    200000.10,       108.00, 200108.10,         142,     openstack-micro
               1,             3,       19,             J={9-2},     GOLD,         BBMultiCost,              Hybrid,        35,              Reduce,          5000,             Success,     200108.20,    200108.20,        10.00, 200118.20,         114, small-aws-us-east-1
               1,             3,       19,             J={9-2},     GOLD,         BBMultiCost,              Hybrid,        36,              Reduce,          1000,             Success,     200108.20,    200108.20,        10.00, 200118.20,         134,     openstack-micro
